date,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm,mintempm_1,mintempm_2,maxtempm_1,maxtempm_2,maxhumidity_1,maxhumidity_2,minhumidity_1,minhumidity_2
2014-05-12,34,24,1003.35,85,21,41,27,28,19,1007,1001,0.0,28,29,39,39,94,89,40,36
2014-05-13,34,27,1003.64,94,40,39,28,29,25,1006,1001,0.0,29,28,39,39,89,84,36,20
2014-05-14,34,26,1002.81,89,36,39,29,28,23,1006,1000,0.0,28,28,39,40,84,89,20,21
2014-05-15,34,21,1001.85,84,20,39,28,27,14,1004,999,0.0,28,28,40,40,89,84,21,29
2014-05-16,34,23,1003.07,89,21,40,28,28,18,1005,1001,0.0,28,28,40,40,84,86,29,35
2014-05-17,34,25,1004.69,84,29,40,28,27,22,1007,1002,0.0,28,28,40,40,86,84,35,31
2014-05-18,34,25,1004.36,86,35,40,28,26,23,1007,1002,0.0,28,28,40,40,84,94,31,17
2014-05-19,34,25,1004.47,84,31,40,28,27,22,1007,1001,0.0,28,28,40,40,94,89,17,25
2014-05-20,34,25,1003.57,94,17,40,28,28,18,1009,1000,0.2,28,28,40,39,89,89,25,33
2014-05-21,34,25,1001.43,89,25,40,28,27,22,1004,999,0.0,28,29,39,39,89,84,33,35
2014-05-22,34,25,1000.52,89,33,39,28,27,23,1003,998,0.0,29,28,39,37,84,89,35,45
2014-05-23,34,25,1002.4,84,35,39,29,27,22,1005,1000,0.0,28,26,37,37,89,94,45,62
2014-05-24,32,26,1005.22,89,45,37,28,28,23,1007,1003,0.0,26,25,37,33,94,96,62,62
2014-05-25,32,25,1007.02,94,62,37,26,26,25,1009,1005,3.0,25,26,33,28,96,98,62,85
2014-05-26,29,26,1007.19,96,62,33,25,27,24,1010,1004,20.0,26,26,28,35,98,94,85,50
2014-05-27,27,25,1004.96,98,85,28,26,27,25,1008,1002,15.0,26,25,35,35,94,94,50,58
2014-05-28,30,25,1003.18,94,50,35,26,26,24,1006,1001,0.0,25,28,35,36,94,91,58,47
2014-05-29,30,26,1004.15,94,58,35,25,28,24,1006,1002,0.0,28,23,36,30,91,100,47,78
2014-05-30,32,27,1002.11,91,47,36,28,28,26,1004,1000,0.0,23,22,30,32,100,94,78,57
2014-05-31,26,24,1002.24,100,78,30,23,28,22,1006,1000,33.0,22,27,32,36,94,89,57,59
2014-06-01,27,25,1003.79,94,57,32,22,27,22,1006,1002,0.0,27,27,36,33,89,91,59,70
2014-06-02,32,26,1003.77,89,59,36,27,28,25,1006,1002,0.0,27,28,33,37,91,96,70,50
2014-06-03,30,27,1002.07,91,70,33,27,29,25,1004,1000,0.0,28,29,37,36,96,89,50,51
2014-06-04,32,27,1001.11,96,50,37,28,28,25,1003,999,0.0,29,29,36,36,89,89,51,53
2014-06-05,32,27,999.96,89,51,36,29,28,25,1004,997,0.0,29,28,36,36,89,89,53,51
2014-06-06,32,27,998.82,89,53,36,29,28,26,1001,996,0.0,28,27,36,36,89,89,51,51
2014-06-07,32,26,997.92,89,51,36,28,27,23,1000,995,0.0,27,29,36,36,89,89,51,54
2014-06-08,32,27,997.05,89,51,36,27,28,23,999,994,0.0,29,28,36,37,89,89,54,50
2014-06-09,32,27,997.22,89,54,36,29,29,26,999,996,0.0,28,28,37,38,89,89,50,47
2014-06-10,32,27,997.67,89,50,37,28,28,27,999,996,0.0,28,25,38,39,89,94,47,48
2014-06-11,33,27,996.88,89,47,38,28,29,23,999,994,0.4,25,29,39,37,94,95,48,46
2014-06-12,32,27,995.6,94,48,39,25,30,24,998,993,26.0,29,24,37,37,95,100,46,48
2014-06-13,33,27,995.53,95,46,37,29,30,25,998,994,0.0,24,25,37,37,100,94,48,48
2014-06-14,30,26,997.38,100,48,37,24,28,24,999,995,15.0,25,25,37,37,94,99,48,48
2014-06-15,31,26,998.13,94,48,37,25,29,24,1000,996,25.0,25,24,37,36,99,99,48,57
2014-06-16,31,26,997.94,99,48,37,25,28,24,1001,995,52.0,24,28,36,33,99,100,57,75
2014-06-17,30,27,997.04,99,57,36,24,29,24,999,994,7.0,28,27,33,29,100,100,75,88
2014-06-18,30,28,996.3,100,75,33,28,29,26,998,995,7.0,27,26,29,32,100,97,88,75
2014-06-19,28,27,995.37,100,88,29,27,28,26,997,993,9.0,26,26,32,28,97,95,75,83
2014-06-20,29,27,994.75,97,75,32,26,28,26,997,993,0.0,26,26,28,33,95,94,83,58
2014-06-21,27,26,997.3,95,83,28,26,27,25,1000,994,7.0,26,27,33,34,94,94,58,63
2014-06-22,30,27,998.8,94,58,33,26,29,25,1001,997,8.0,27,27,34,34,94,95,63,70
2014-06-23,30,28,997.64,94,63,34,27,30,27,1000,996,0.0,27,26,34,34,95,94,70,63
2014-06-24,30,27,996.47,95,70,34,27,29,25,999,995,0.0,26,26,34,32,94,94,63,74
2014-06-25,30,27,998.11,94,63,34,26,29,25,1001,996,30.0,26,27,32,32,94,94,74,55
2014-06-26,29,27,1001.09,94,74,32,26,28,26,1004,998,0.3,27,27,32,35,94,97,55,57
2014-06-27,30,27,1003.15,94,55,32,27,27,20,1005,1001,1.0,27,26,35,34,97,95,57,64
2014-06-28,31,27,1001.3,97,57,35,27,28,26,1004,998,25.0,26,25,34,31,95,96,64,64
2014-06-29,30,27,999.38,95,64,34,26,29,25,1001,997,41.0,25,24,31,33,96,99,64,62
2014-06-30,28,26,999.11,96,64,31,25,28,25,1001,997,18.0,24,26,33,32,99,100,62,69
2014-07-01,28,26,999.48,99,62,33,24,27,25,1002,997,2.0,26,26,32,34,100,99,69,66
2014-07-02,29,26,998.55,100,69,32,26,28,26,1000,997,19.0,26,26,34,29,99,100,66,80
2014-07-03,30,27,995.67,99,66,34,26,28,26,998,994,26.0,26,25,29,31,100,96,80,76
2014-07-04,28,26,996.35,100,80,29,26,27,25,999,994,3.0,25,27,31,33,96,94,76,65
2014-07-05,28,27,1000.16,96,76,31,25,29,26,1004,998,0.0,27,28,33,34,94,90,65,63
2014-07-06,30,27,1002.75,94,65,33,27,29,26,1004,1001,0.0,28,27,34,35,90,96,63,63
2014-07-07,31,27,1001.49,90,63,34,28,28,26,1004,999,0.0,27,26,35,36,96,95,63,61
2014-07-08,31,27,999.07,96,63,35,27,29,26,1001,996,14.0,26,27,36,36,95,97,61,55
2014-07-09,31,27,998.0,95,61,36,26,28,26,1000,996,0.0,27,27,36,35,97,96,55,52
2014-07-10,32,27,998.32,97,55,36,27,28,26,1000,997,22.0,27,27,35,34,96,94,52,56
2014-07-11,31,27,998.09,96,52,35,27,28,26,1000,996,1.0,27,27,34,34,94,94,56,64
2014-07-12,30,27,997.13,94,56,34,27,28,27,999,995,3.0,27,28,34,33,94,94,64,66
2014-07-13,30,27,997.82,94,64,34,27,28,26,999,995,8.0,28,27,33,33,94,96,66,65
2014-07-14,30,27,997.38,94,66,33,28,28,27,999,995,6.0,27,27,33,30,96,96,65,78
2014-07-15,30,27,997.21,96,65,33,27,28,26,999,995,6.0,27,27,30,33,96,96,78,69
2014-07-16,28,27,998.29,96,78,30,27,28,27,1000,997,4.0,27,27,33,33,96,94,69,66
2014-07-17,30,27,998.47,96,69,33,27,28,26,1000,996,15.0,27,27,33,34,94,97,66,60
2014-07-18,30,27,997.43,94,66,33,27,28,26,999,996,0.0,27,27,34,33,97,94,60,71
2014-07-19,30,27,995.22,97,60,34,27,28,26,998,992,3.0,27,27,33,30,94,95,71,73
2014-07-20,30,27,992.19,94,71,33,27,28,26,995,990,6.0,27,25,30,32,95,97,73,65
2014-07-21,28,26,992.63,95,73,30,27,28,26,997,989,0.0,25,27,32,33,97,97,65,63
2014-07-22,28,26,997.45,97,65,32,25,27,25,1000,995,0.0,27,26,33,32,97,96,63,78
2014-07-23,30,26,999.84,97,63,33,27,27,26,1002,998,4.0,26,25,32,33,96,95,78,59
2014-07-24,29,26,1000.33,96,78,32,26,28,25,1002,999,19.0,25,27,33,34,95,94,59,54
2014-07-25,29,26,1000.67,95,59,33,25,27,25,1003,998,0.0,27,27,34,32,94,95,54,65
2014-07-26,30,26,1001.81,94,54,34,27,28,26,1004,999,0.6,27,26,32,31,95,94,65,72
2014-07-27,30,27,1001.73,95,65,32,27,28,26,1004,999,5.0,26,26,31,31,94,95,72,76
2014-07-28,28,27,999.1,94,72,31,26,28,26,1002,996,0.0,26,27,31,33,95,95,76,63
2014-07-29,28,27,998.08,95,76,31,26,29,26,1000,996,0.0,27,27,33,34,95,94,63,61
2014-07-30,30,27,999.0,95,63,33,27,28,26,1001,997,0.0,27,27,34,35,94,94,61,58
2014-07-31,30,27,999.82,94,61,34,27,28,26,1002,997,0.0,27,28,35,35,94,96,58,59
2014-08-01,31,27,999.31,94,58,35,27,28,26,1002,996,0.0,28,27,35,32,96,100,59,65
2014-08-02,32,27,996.57,96,59,35,28,28,27,999,994,0.0,27,25,32,32,100,97,65,65
2014-08-03,30,27,992.77,100,65,32,27,28,26,995,990,0.0,25,25,32,33,97,100,65,64
2014-08-04,28,26,991.77,97,65,32,25,27,26,997,988,0.0,25,27,33,34,100,94,64,55
2014-08-05,29,27,997.44,100,64,33,25,28,26,1000,995,4.0,27,27,34,34,94,94,55,51
2014-08-06,30,27,999.22,94,55,34,27,27,26,1001,997,4.0,27,26,34,31,94,94,51,77
2014-08-07,30,27,998.82,94,51,34,27,27,25,1000,996,5.0,26,26,31,32,94,96,77,71
2014-08-08,28,27,998.72,94,77,31,26,28,26,1000,995,45.0,26,26,32,34,96,92,71,60
2014-08-09,29,27,999.0,96,71,32,26,28,26,1002,996,0.0,26,28,34,34,92,90,60,55
2014-08-10,30,26,1000.98,92,60,34,26,27,25,1003,999,0.0,28,27,34,33,90,89,55,63
2014-08-11,31,26,1001.33,90,55,34,28,27,25,1003,999,0.0,27,26,33,35,89,94,63,62
2014-08-12,30,27,999.92,89,63,33,27,28,26,1002,997,2.0,26,25,35,33,94,97,62,67
2014-08-13,30,27,999.83,94,62,35,26,28,25,1002,997,11.0,25,25,33,32,97,99,67,76
2014-08-14,29,26,1000.63,97,67,33,25,28,26,1003,999,7.0,25,24,32,32,99,99,76,65
2014-08-15,28,26,1002.73,99,76,32,25,28,25,1005,1001,0.0,24,25,32,33,99,95,65,65
2014-08-16,28,26,1003.41,99,65,32,24,27,24,1005,1002,6.0,25,26,33,34,95,96,65,59
2014-08-17,29,26,1003.53,95,65,33,25,27,25,1005,1001,0.0,26,25,34,35,96,94,59,58
2014-08-18,30,26,1005.69,96,59,34,26,27,25,1009,1003,20.0,25,24,35,33,94,94,58,66
2014-08-19,30,26,1006.29,94,58,35,25,29,25,1009,1003,0.0,24,25,33,34,94,94,66,67
2014-08-20,28,27,1005.06,94,66,33,24,28,24,1007,1003,0.8,25,27,34,34,94,97,67,66
2014-08-21,30,27,1003.23,94,67,34,25,28,25,1005,1001,13.0,27,27,34,33,97,89,66,58
2014-08-22,30,27,1003.64,97,66,34,27,28,26,1006,1002,0.0,27,26,33,34,89,94,58,60
2014-08-23,30,27,1005.04,89,58,33,27,28,26,1007,1002,0.0,26,26,34,35,94,94,60,59
2014-08-24,30,26,1005.24,94,60,34,26,28,24,1007,1003,0.4,26,26,35,34,94,94,59,60
2014-08-25,30,26,1004.89,94,59,35,26,28,25,1007,1002,0.0,26,27,34,37,94,93,60,49
2014-08-26,30,27,1004.06,94,60,34,26,28,26,1007,1001,0.0,27,27,37,33,93,97,49,59
2014-08-27,32,26,1002.68,93,49,37,27,27,25,1005,1000,0.0,27,26,33,33,97,94,59,56
2014-08-28,30,26,1003.25,97,59,33,27,27,26,1006,1001,2.0,26,26,33,34,94,96,56,62
2014-08-29,30,26,1002.79,94,56,33,26,27,25,1004,1000,15.0,26,26,34,32,96,94,62,63
2014-08-30,30,26,1002.16,96,62,34,26,26,25,1005,999,0.0,26,26,32,30,94,97,63,83
2014-08-31,29,26,1000.28,94,63,32,26,27,25,1002,997,0.0,26,25,30,30,97,97,83,79
2014-09-01,28,26,1001.06,97,83,30,26,27,25,1004,999,31.0,25,25,30,33,97,98,79,57
2014-09-02,28,25,1003.54,97,79,30,25,28,25,1006,1002,25.0,25,25,33,34,98,94,57,61
2014-09-03,29,26,1003.96,98,57,33,25,27,24,1006,1001,0.4,25,26,34,33,94,97,61,60
2014-09-04,30,26,1002.26,94,61,34,25,26,25,1004,1000,0.4,26,26,33,32,97,96,60,65
2014-09-05,30,26,1000.09,97,60,33,26,27,25,1002,997,2.0,26,26,32,33,96,94,65,60
2014-09-06,29,26,999.92,96,65,32,26,26,25,1002,997,3.0,26,26,33,34,94,94,60,56
2014-09-07,30,26,1002.91,94,60,33,26,27,25,1006,1001,11.0,26,26,34,33,94,94,56,56
2014-09-08,30,26,1004.25,94,56,34,26,27,25,1006,1002,5.0,26,27,33,34,94,94,56,59
2014-09-09,30,26,1003.61,94,56,33,26,27,25,1006,1001,0.8,27,26,34,34,94,94,59,59
2014-09-10,30,26,1003.98,94,59,34,27,27,25,1007,1001,0.0,26,26,34,34,94,92,59,60
2014-09-11,30,26,1005.29,94,59,34,26,26,25,1007,1003,0.0,26,27,34,35,92,96,60,54
2014-09-12,30,26,1005.35,92,60,34,26,28,25,1008,1002,6.0,27,26,35,34,96,94,54,57
2014-09-13,31,26,1003.64,96,54,35,27,27,26,1006,1000,13.0,26,26,34,34,94,94,57,53
2014-09-14,30,26,1003.51,94,57,34,26,28,25,1006,1001,0.0,26,26,34,35,94,94,53,49
2014-09-15,30,26,1002.94,94,53,34,26,27,25,1005,1000,1.0,26,26,35,36,94,94,49,50
2014-09-16,30,26,1001.33,94,49,35,26,27,25,1004,998,0.0,26,28,36,36,94,89,50,52
